Generated by GetData Graph Digitizer 2.26.0.20 on June 05 2015, 17:25
from file 'C:\Users\Dmitry\Google Диск\!Diplom\Emmiter_Temperature.jpg'

Line #1
 9.71574094046473e+001    1.33677130518127e+003
 9.73149663485228e+001    1.34066079983852e+003
 9.75430694711873e+001    1.34455016256800e+003
 9.77006264150628e+001    1.34843965722526e+003
 9.78581833589383e+001    1.35232915188251e+003
 9.80862864816028e+001    1.35621851461199e+003
 9.84552532870355e+001    1.36005358906213e+003
 9.88947662712571e+001    1.36388853158450e+003
 9.91228693939216e+001    1.36777789431398e+003
 9.88569205902537e+001    1.37161415611409e+003
 9.91528257939908e+001    1.37485509383033e+003
 9.95211065749945e+001    1.37852809500911e+003
 1.00524760314718e+002    1.38230795768549e+003
 1.01035505502158e+002    1.38630484155144e+003
 1.01405158332020e+002    1.39030198927295e+003
 1.00856338788767e+002    1.39397670551280e+003
 1.01154302065791e+002    1.39770386304314e+003
 1.01526698993369e+002    1.40234930385011e+003
 1.02740847895411e+002    1.40585864862422e+003
 1.02969179692885e+002    1.40980203577749e+003
 1.03197740165169e+002    1.41379944735455e+003
 1.03707799328180e+002    1.41763425794914e+003
 1.04217858491190e+002    1.42146906854373e+003
 1.04587053971433e+002    1.42535816741767e+003
 1.05097113134443e+002    1.42919297801226e+003
 1.05748264655032e+002    1.43302752475130e+003
 1.06540508533198e+002    1.43686180763479e+003
 1.07403298590154e+002    1.44069595859051e+003
 1.08195542468320e+002    1.44453024147400e+003
 1.08987786346487e+002    1.44836452435750e+003
 1.09921122582231e+002    1.45219854338544e+003
 1.11136414858322e+002    1.45597801027849e+003
 1.12351707134412e+002    1.45975747717155e+003
 1.13637545589292e+002    1.46353681213683e+003
 1.15416749946075e+002    1.46720717476011e+003
 1.17336817985626e+002    1.47082324910405e+003
 1.19890658260229e+002    1.47416801397907e+003
 1.22444498534832e+002    1.47751277885409e+003
 1.26620443571962e+002    1.48074646054271e+003
 1.31353440445494e+002    1.48225030524789e+003
 1.36295789107295e+002    1.48321350993185e+003
 1.41375113980100e+002    1.48320401113207e+003

Line #3
 1.53005171788653e+002    1.34747183506917e+003
 1.53585777130452e+002    1.35130651373599e+003
 1.53602241716750e+002    1.35519627224879e+003
 1.53618706303047e+002    1.35908603076160e+003
 1.53987901783290e+002    1.36297512963553e+003
 1.54497960946300e+002    1.36680994023012e+003
 1.54725378044536e+002    1.37053722968823e+003
 1.54755791794224e+002    1.37772247805217e+003
 1.55336397136024e+002    1.38155715671898e+003
 1.55917002477823e+002    1.38539183538580e+003
 1.56286197958066e+002    1.38928093425973e+003
 1.56016361682633e+002    1.39219878085543e+003
 1.56584618584710e+002    1.39311614063765e+003
 1.56953814064952e+002    1.39700523951158e+003
 1.57322780870385e+002    1.40084031396172e+003
 1.57336272684156e+002    1.40402775496527e+003
 1.57339245456682e+002    1.40473007247452e+003
 1.57776014343188e+002    1.40791672191142e+003
 1.57863025108274e+002    1.41180634849645e+003
 1.58302538092496e+002    1.41564129101882e+003
 1.58742279751527e+002    1.41953025796497e+003
 1.59323113768136e+002    1.42341896105558e+003
 1.59833172931147e+002    1.42725377165017e+003
 1.60202368411390e+002    1.43114287052410e+003
 1.60712656249210e+002    1.43503170554248e+003
 1.61575446306165e+002    1.43886585649820e+003
 1.62297601355162e+002    1.44280832015705e+003
 1.62666339485785e+002    1.44658937018340e+003
 1.63103794396720e+002    1.44993809289167e+003
 1.64105390063156e+002    1.45323173575394e+003
 1.65249450136029e+002    1.45684926130341e+003
 1.66394196233330e+002    1.46062886012424e+003
 1.67750580866999e+002    1.46440806316174e+003
 1.69388692866203e+002    1.46807868964057e+003
 1.71026804865408e+002    1.47174931611940e+003
 1.72876555400980e+002    1.47541954681490e+003
 1.75500941854372e+002    1.47876417976215e+003
 1.79180548217073e+002    1.48140451628352e+003
 1.83701906554238e+002    1.48290875677202e+003
 1.86595214583824e+002    1.48311944542841e+003
 1.90404708238428e+002    1.48311232132857e+003

Line #4
 2.00612866080336e+002    1.34478961147930e+003
 2.00699876845422e+002    1.34867923806433e+003
 2.01139389829644e+002    1.35251418058670e+003
